event_id,start_date,event_name,category,description
1,1990-08-02,Gulf War (Iraq invasion of Kuwait),Conflict,"Iraq invades Kuwait, prompting fears of major supply disruption from two large OPEC producers and a sharp spike in Brent prices."
2,1997-07-02,Asian Financial Crisis,Economic Shock,"Currency and banking crises across East Asia sharply cut regional oil demand, contributing to a prolonged price collapse into 1998."
3,2001-09-11,September 11 Attacks,Geopolitical,"Terrorist attacks on the US caused a demand-side shock and short-term market panic amid broader economic uncertainty."
4,2003-03-20,US Invasion of Iraq,Conflict,"US-led invasion of Iraq disrupted output from a major OPEC producer and raised a sustained geopolitical risk premium."
5,2008-07-11,2008 Oil Price Peak,Market Event,"Brent hit an all-time high (about $147/barrel) driven by strong emerging-market demand, a weak US dollar, and speculative activity, just before the global financial crisis."
6,2008-09-15,Global Financial Crisis (Lehman collapse),Economic Shock,"Collapse of Lehman Brothers triggered a global recession and a historic demand collapse, driving Brent down more than 70 percent within months."
7,2011-02-15,Arab Spring / Libyan Civil War,Conflict,"Widespread unrest across the Middle East and North Africa, including the loss of Libyan output, pushed prices sharply higher."
8,2014-06-01,2014 Oil Price Collapse (Shale supply glut),OPEC/Supply,"Surging US shale production combined with OPEC's decision in Nov 2014 not to cut output led to a supply glut and a price crash from over $110 to under $50."
9,2016-11-30,OPEC Production Cut Agreement,OPEC Policy,"OPEC agreed its first production cut since 2008, with non-OPEC allies forming OPEC+, helping stabilize and lift prices from 2016 lows."
10,2018-05-08,US Withdrawal from Iran Nuclear Deal,Sanctions,"US re-imposed sanctions on Iranian oil exports, tightening supply expectations and lifting prices through 2018."
11,2019-09-14,Attack on Saudi Aramco Facilities (Abqaiq-Khurais),Conflict,"Drone and missile strikes temporarily knocked out roughly half of Saudi Arabia's oil production capacity, causing the largest single-day price spike in decades."
12,2020-03-08,Saudi-Russia Oil Price War,OPEC Policy,"OPEC+ talks collapsed; Saudi Arabia launched a price war and ramped up output just as COVID-19 demand collapsed, crashing prices."
13,2020-03-11,COVID-19 Declared a Global Pandemic,Economic Shock,"WHO's pandemic declaration and subsequent global lockdowns caused an unprecedented collapse in oil demand."
14,2020-04-12,OPEC+ Record Production Cut Agreement,OPEC Policy,"OPEC+ agreed a record cut of about 9.7 million barrels per day to support prices amid the pandemic demand collapse."
15,2022-02-24,Russian Invasion of Ukraine,Conflict,"Russia's invasion triggered sanctions on a top-3 global oil exporter and a major supply-risk premium, driving Brent above $120 per barrel."
16,2022-03-08,US/EU Ban on Russian Oil Imports Proposed,Sanctions,"Announcements of bans and restrictions on Russian oil imports intensified supply concerns and price volatility."
